_id,birthDate,birth year,birthPlace,birth city/country,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height_dup,height,highSchool,name,position,shoots,weight
ackerdo01,Sep-04,1930,New York, New York,0.8,22.2,,53.6,28,1,1.5,0.5,-0.6,,Long Island University,1953 NBA Draft,2nd roun,New York Knicks,,6-0,6.00,"Metropolitan in New York, New York",Don Ackerman,Point Guard,Right,183
acresma01,Nov-15,1962,Inglewood, California,0.5,50.6,53.8,66.5,375,9,3.6,4.1,9.3,50.9,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985,06-Nov-23,6.11,"Palos Verdes in Palos Verdes Estates, California",Mark Acres,Center,Right,220
actonbu01,Jan-11,1942,,,0.5,39.2,,65.5,23,9.5,3.3,2,0.1,,Hillsdale College,,,,,06-Jun-23,6.60,"Troy in Troy, Michigan",Bud Acton,Small Forward,Right,210
acyqu01,Oct-06,1990,Tyler, Texas,0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,06-Jul-23,6.70,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240
adamsal01,Jul-19,1954,Lawrence, Kansas,4.1,49.8,13.3,78.8,988,18.3,14.1,7,73.5,49.8,University of Oklahoma,4th overall,1st round,Phoenix Suns,1975,06-Sep-23,6.90,"Putnam City in Warr Acres, Oklahoma",Alvan Adams,Center and Power Forward,Right,210
adamsdo01,Nov-27,1947,Atlanta, Georgia,1.9,40.2,0,74.1,523,10.7,8.8,5.6,11.7,40.2,Northwestern University,120th overall,8th round,San Diego Rockets,1970,06-Jun-23,6.60,"South Fulton in South Fulton, Georgia",Don Adams,Small Forward,Right,210
adamsge01,May-15,1949,Kings Mountain, North Carolina,1.5,49.7,23.5,79.4,215,14,7.7,4.1,6.6,49.9,Gardner-Webb University,46th overall,3rd round,Milwaukee Bucks,1972,06-May-23,6.50,,George Adams,Small Forward,Right,210
adamsha01,Jun-20,1984,Inglewood, California,0.2,53.4,0,64.3,73,11.8,2.5,1.2,0.8,53.4,University of Arizona,54th overall,2nd round,New Jersey Nets,2006,06-Apr-23,6.40,"Westchester in Los Angeles, California",Hassan Adams,Shooting Guard,Right,220
adamsja01,May-04,1996,Baltimore, Maryland,1.9,34.5,33.8,77.8,34,7.6,3.2,1.8,0.1,45.9,St. Bonaventure University,,,,,06-Feb-23,6.20,"Mount St. Joseph in Baltimore, Maryland",Jaylen Adams,Point Guard,Right,190
adamsjo01,Jul-08,1994,Atlanta, Georgia,0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,06-May-23,6.50,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209
adamsmi01,Jan-19,1963,Hartford, Connecticut,6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,Boston College,66th overall,3rd round,Sacramento Kings,1985,05-Oct-23,5.10,"Hartford Public in Hartford, Connecticut",Michael Adams,Point Guard,Right,162
adamsst01,Jul-20,1993,Rotorua, New Zealand,1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,7-0,7.00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265
addisra01,Jul-22,1964,Jersey City, New Jersey,0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,39th overall,2nd round,Phoenix Suns,1986,06-Jul-23,6.70,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215
adebaba01,Jul-18,1997,Newark, New Jersey,1.9,55,13.6,72.8,151,17,8,6.5,11,55.1,University of Kentucky,14th overall,1st round,Miami Heat,2017,06-Oct-23,6.10,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255
adelde01,Feb-01,1997,Juba, South Sudan,0.3,30.6,26.1,100,19,2.7,1.7,1,-0.2,38.9,University of Louisville,,,,,06-Jul-23,6.70,"Victoria Rock Prep HS in Bradenton, Florida",Deng Adel,Small Forward,Right,200
adelmri01,Jun-16,1946,Lynwood, California,3.5,41.5,,71.3,462,11.3,7.7,2.4,10,,Loyola Marymount University,79th overall,7th round,San Diego Rockets,1968,06-Jan-23,6.10,"Saint Pius X in Downey, California",Rick Adelman,Point Guard,Right,175
adrieje01,Feb-10,1986,Brookline, Massachusetts,0.7,47.4,0,62.8,153,15,4.6,4.3,4.4,47.4,University of Connecticut,,,,,06-Jul-23,6.70,"Brewster Academy in Wolfeboro, New Hampshire",Jeff Adrien,Power Forward,Right,245
afflaar01,Oct-15,1985,Los Angeles, California,1.8,45,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007,06-May-23,6.50,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210
agerma01,Feb-09,1984,Detroit, Michigan,0.2,33.9,25,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,28th overall,1st round,Dallas Mavericks,2006,06-May-23,6.50,"Crocket in Detroit, Michigan",Maurice Ager,Shooting Guard,Right,202
aguirma01,Dec-10,1959,Chicago, Illinois,3.1,48.4,31.2,74.1,923,19,20,5,67.8,49.8,DePaul University,1st overall,1st round,Dallas Mavericks,1981,06-Jun-23,6.60,"George Westinghouse in Chicago, Illinois",Mark Aguirre,Small Forward,Right,232
ahearbl01,May-27,1984,St. Louis, Missouri,1.2,27.3,29.8,97,19,7.2,4.6,1.2,-0.2,36.4,Missouri State University,,,,,06-Feb-23,6.20,"De Smet Jesuit in Creve Coeur, Missouri",Blake Ahearn,Point Guard,Right,190
aingeda01,Mar-17,1959,Eugene, Oregon,4,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,31st overall,2nd round,Boston Celtics,1981,06-Apr-23,6.40,"Eugene in North Eugene, Oregon",Danny Ainge,Shooting Guard and Point Guard,Right,175
aitchma01,Sep-21,1944,St. Louis, Missouri,0.4,40.5,0,67.5,45,11.9,5.6,3.6,0.5,40.5,Michigan State University,135th overall,13th round,Detroit Pistons,1967,06-Jul-23,6.70,"Maplewood-Richmond Heights in Maplewood, Missouri",Matthew Aitch,Power Forward,Right,230
ajincal01,May-06,1988,Saint-Etienne, France,0.5,50.3,28.6,79.7,293,14.9,5.3,3.9,7.5,50.7,,20th overall,1st round,Charlotte Bobcats,2008,07-Feb-23,7.20,,Alexis Ajinca,Power Forward and Center,Right,248
akinhe01,Jul-31,1944,Detroit, Michigan,0.5,35,0,67.6,88,7.4,3.5,2.1,-1.2,35,Morehead State University,11th overall,2nd round,New York Knicks,1966,06-Oct-23,6.10,,Henry Akin,Center and Power Forward,Right,225
akognjo01,Feb-10,1986,Greenbrae, California,0.3,50,50,-,3,15.3,1.7,0.3,0,62.5,"Washington State University, California State University, Fullerton",,,,,05-Nov-23,5.11,"Casa Grande in Petaluma, California",Josh Akognon,Point Guard,Right,185
akoonde01,Jun-05,1993,Orlando, Florida,0.9,30,0,50,7,8.2,1,0.6,0,30,Illinois State University,,,,,06-Jun-23,6.60,"West Oaks Academy in Orlando, Florida",DeVaughn Akoon-Purcell,Shooting Guard,Right,200
alabiso01,Mar-21,1988,Kaduna, Nigeria,0.2,31.4,-,70,26,10.3,1.5,2.3,0,31.4,Florida State University,50th overall,2nd round,Dallas Mavericks,2010,07-Jan-23,7.10,"Montverde Academy in Montverde, Florida",Solomon Alabi,Center,Right,251
alarima01,Dec-11,1963,Phoenix, Arizona,1.1,47.5,25.2,77.5,325,13,7.5,3.4,8.4,48.3,Duke University,18th overall,1st round,Denver Nuggets,1986,06-Aug-23,6.80,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217
alcorga01,Oct-08,1936,,,0.3,29.3,,59.8,78,6.5,3.3,4.2,-1.3,,"California State University, Fresno",16th overall,3rd round,Detroit Pistons,1959,06-Sep-23,6.90,,Gary Alcorn,Center,Right,225
aldemfu01,Aug-09,1991,Konak, Turkey,0.7,51.3,0,48.1,41,12,2.3,4.3,1.4,51.3,,53rd overall,2nd round,Los Angeles Clippers,2012,06-Oct-23,6.10,,Furkan Aldemir,Power Forward,Right,240
aldrico01,Oct-31,1988,Burnsville, Minnesota,0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,06-Nov-23,6.11,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250
aldrila01,Jul-19,1985,Dallas, Texas,2,49.1,28.3,81,950,20.9,19.6,8.4,107,49.5,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006,06-Nov-23,6.11,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260
aleksch01,Feb-26,1959,Litchfield, Connecticut,0.5,47.8,0,73.3,74,9.1,5.1,3.6,0.4,47.8,"University of Kentucky, University of Connecticut",76th overall,4th round,Chicago Bulls,1982,06-Nov-23,6.11,"Wamogo in Litchfield, Connecticut",Chuck Aleksinas,Center,Right,260
alexacl01,Nov-16,1995,Chicago, Illinois,0,50,-,-,8,11.6,1.3,0.8,0,50,University of Kansas,,,,,06-Aug-23,6.80,"Curie in Chicago, Illinois",Cliff Alexander,Power Forward,Right,245
alexaco01,Jun-22,1973,Waynesboro, Virginia,2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,06-Jan-23,6.10,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185
alexaco02,Apr-27,1977,Bridgeport, Connecticut,1.2,42.2,33.9,81.3,187,11.5,9,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000,06-May-23,6.50,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205
alexaga01,Nov-01,1969,Jacksonville, Florida,0.2,57.1,-,33.3,11,8.6,1.7,1.4,0,57.1,University of South Florida,,,,,06-Jul-23,6.70,"William M. Raines in Jacksonville, Florida",Gary Alexander,Power Forward,Right,240
alexajo01,Dec-26,1986,Kaohsiung, Taiwan,0.7,41,34,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,8th overall,1st round,Milwaukee Bucks,2008,06-Aug-23,6.80,"Hargrave Military Academy in Chatham, Virginia",Joe Alexander,Small Forward,Right,230
alexavi01,Aug-31,1969,Detroit, Michigan,0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,17th overall,1st round,Golden State Warriors,1991,06-Sep-23,6.90,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265
alforst01,Nov-23,1964,Franklin, Indiana,1,45.9,32.4,87,169,14.4,4.4,0.9,3.2,48.7,Indiana University,26th overall,2nd round,Dallas Mavericks,1987,06-Feb-23,6.20,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183
alkinra01,Oct-29,1997,Brooklyn, New York,1.3,33.3,25,66.7,10,8.1,3.7,2.6,-0.1,37.2,University of Arizona,,,,,06-May-23,6.50,"Word of God Academy in Raleigh, North Carolina",Rawle Alkins,Shooting Guard,Right,225
allenbi01,,,,,0.6,42.9,100,58.6,38,11.9,7.9,7.1,0.6,43.2,New Mexico State University,,,,,06-Aug-23,6.80,,Bill Allen,Center,Right,205
allenbo01,Jul-17,1946,,,0.4,32.6,,55.6,27,6.8,1.8,2.1,0.1,,Marshall University,71st overall,6th round,San Francisco Warriors,1968,06-Sep-23,6.90,,Bob Allen,Power Forward,Right,205
allengr01,Oct-08,1995,Jacksonville, Florida,0.7,37.6,32.3,75,38,7.5,5.6,0.6,0,46.6,Duke University,21st overall,1st round,Utah Jazz,2018,06-May-23,6.50,"Providence School in Jacksonville, Florida",Grayson Allen,Shooting Guard,Right,198
allenja01,Apr-21,1998,Austin, Texas,1,59,18.3,73.2,152,18.1,9.6,7,11.9,59.5,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,06-Nov-23,6.11,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237
allenje01,Jan-28,1973,Philadelphia, Pennsylvania,1.7,35,31.7,63,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,06-Apr-23,6.40,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184
allenka01,Jan-15,1993,Wilmington, North Carolina,2.4,43.6,36.2,77.8,37,13.4,5.6,1.7,0.9,48.8,University of Arizona,53rd overall,2nd round,Boston Celtics,2017,06-Mar-23,6.30,"New Hanover in Wilmington, North Carolina",Kadeem Allen,Shooting Guard and Point Guard,Right,192
allenla01,Feb-04,1989,Morrisville, Pennsylvania,1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,06-Sep-23,6.90,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260
allenlu01,Sep-26,1947,Kansas City, Kansas,4.5,46.3,,76,702,15.5,13.4,3.1,42,,"University of California, Los Angeles",3rd overall,1st round,Seattle SuperSonics,1969,06-Feb-23,6.20,"Wyandotte in Kansas City, Kansas",Lucius Allen,Point Guard,Right,175
allenma01,Jun-27,1978,Willingboro, New Jersey,0.5,43.9,18.8,77.8,478,9.9,4.9,2.8,6.6,44,Villanova University,,,,,06-Oct-23,6.10,"Shawnee in Medford, New Jersey",Malik Allen,Power Forward,Right,255
allenra01,Jan-26,1965,Milton, Florida,0.3,44.2,0,53.3,70,8.3,3.6,2.1,0.2,44.2,Florida State University,,,,,06-Aug-23,6.80,"Milton in Milton, Florida",Randy Allen,Shooting Guard,Right,220
allenra02,Jul-20,1975,Merced, California,3.4,45.2,40,89.4,1300,18.6,18.9,4.1,145.1,53,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996,06-May-23,6.50,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205
allento01,Jan-11,1982,Chicago, Illinois,1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004,06-Apr-23,6.40,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213
allenwi01,Feb-08,1949,,,0.6,30.8,-,83.3,7,5.7,1.9,2,0,30.8,University of Miami,60th overall,4th round,Baltimore Bullets,1971,06-Jun-23,6.60,"Richard Montgomery in Rockville, Maryland",Willie Allen,Power Forward,Right,230
allisod01,Oct-02,1949,,,0.3,21.8,,54.1,36,4.7,1.9,1.3,-0.6,,"University of Nevada, Las Vegas",76th overall,5th round,Golden State Warriors,1971,06-Jun-23,6.60,"McClymonds in Oakland, California",Odis Allison,Small Forward,Right,195
allrela01,Feb-02,1981,Salt Lake City, Utah,0,25,-,50,3,-1,1,0.3,0,25,"University of Utah, Weber State University",,,,,06-Nov-23,6.11,"East in Salt Lake City, Utah",Lance Allred,Center,Right,250
allumda01,Sep-12,1958,Los Angeles, California,1.1,34.3,0,59.1,22,5.3,2.7,3,-0.3,34.3,"University of California, Los Angeles",103rd overall,5th round,Dallas Mavericks,1980,06-Sep-23,6.90,"Lynwood in Lynwood, California",Darrell Allums,Power Forward,Right,220
almonmo01,Feb-02,1985,Dalton, Georgia,0.3,38.1,29.2,74.3,38,7,3.1,1.2,0,41.2,Rice University,25th overall,1st round,Utah Jazz,2007,06-Jun-23,6.60,"McEachern in Powder Springs, Georgia",Morris Almond,Shooting Guard,Right,225
alstode01,Aug-20,1972,Bronx, New York,0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49,Duquesne University,33rd overall,2nd round,Philadelphia 76ers,1994,06-Nov-23,6.11,"Hoboken in Hoboken, New Jersey",Derrick Alston,Center,Right,225
alstora01,Jul-24,1976,New York, New York,4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998,06-Feb-23,6.20,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171
alumape01,Apr-23,1973,Lagos, Nigeria,0,50,-,-,2,3.1,1,1,0,50,Liberty University,,,,,06-Oct-23,6.10,"Okota Grammar School in Isolo, Nigeria",Peter Aluma,Center,Right,260
amaecjo01,Nov-26,1970,Boston, Massachusetts,0.8,40.3,7.7,67.1,294,8.9,6.2,2.6,0.5,40.3,"Vanderbilt University, Pennsylvania State University",,,,,06-Oct-23,6.10,"Saint John's in Toledo, Ohio",John Amaechi,Power Forward and Center,Right,270
amayaas01,Nov-23,1971,Oak Park, Illinois,0.4,45.5,50,63.3,85,11.5,4.5,4.2,1.9,45.7,Southern Illinois University,,,,,06-Aug-23,6.80,"Walther Lutheran in Melrose Park, Illinois",Ashraf Amaya,Power Forward,Right,230
aminual01,Sep-21,1990,Atlanta, Georgia,1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,06-Sep-23,6.90,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220
amundlo01,Dec-07,1982,Ventura, California,0.4,47.4,0,44.4,428,12,3.7,3.6,6.9,47.4,"University of Nevada, Las Vegas",,,,,06-Sep-23,6.90,"Monarch in Louisville, Colorado",Lou Amundson,Power Forward,Right,220
anderbo01,Aug-24,1937,Monroe, Wisconsin,0.9,38.5,,54.8,33,9.3,4,2.1,0,,Michigan State University,20th overall,3rd round,New York Knicks,1959,06-Mar-23,6.30,"Monroe in Monroe, Wisconsin",Bob Anderegg,Small Forward,Right,200
anderch01,Jul-07,1978,Long Beach, California,0.5,53.2,22.1,65.4,695,16.7,5.4,5,39.7,53.5,Blinn College,,,,,06-Oct-23,6.10,"Iola in Iola, Texas",Chris Andersen,Power Forward and Center,Right,245
anderda03,Jun-23,1980,Carlton, Australia,0.6,44,34.7,67.4,103,11.7,4.9,2.8,1.5,47.8,,37th overall,2nd round,Atlanta Hawks,2002,06-Nov-23,6.11,,David Andersen,Power Forward and Center,Right,245
anderal01,Oct-16,1982,Minneapolis, Minnesota,1.1,40.5,34.4,81.6,330,10.3,7.3,2.2,7.4,48.4,Michigan State University,,,,,06-Jun-23,6.60,"DeLaSalle in Minneapolis, Minnesota",Alan Anderson,Shooting Guard and Small Forward,Right,220
anderan01,Jul-06,1945,Buffalo, New York,1.7,41,15.9,75.5,194,10.9,10.7,2.7,3.5,41.3,Canisius College,88th overall,8th round,Boston Celtics,1967,06-Feb-23,6.20,,Andrew Anderson,Shooting Guard and Point Guard,Right,184
anderan02,Jun-05,1985,Lynn, Massachusetts,0,33.3,-,-,1,-1.7,2,1,0,33.3,University of Memphis,,,,,06-Jun-23,6.60,"Laurinburg Institute in Laurinburg, North Carolina",Antonio Anderson,Small Forward,Right,215
andercl01,Sep-07,1944,,,0.9,35.4,-,58.5,84,10.6,3,1.3,0.3,35.4,Saint Joseph's University,35th overall,4th round,Los Angeles Lakers,1967,06-Feb-23,6.20,"Thomas Edison in Philadelphia, Pennsylvania",Cliff Anderson,Shooting Guard,Right,200
anderda01,Feb-15,1943,Minneapolis, Minnesota,1.1,48.1,-,72.7,140,17.5,12.2,9.4,10.9,48.1,Augsburg College,89th overall,12th round,Philadelphia 76ers,1965,06-Oct-23,6.10,,Dan Anderson,Center,Right,230
anderda02,Jan-01,1951,,,1.7,47.2,,84.6,95,12.3,3.7,1,1.6,,University of Southern California,92nd overall,6th round,Portland Trail Blazers,1974,06-Feb-23,6.20,"North Torrance in Torrance, California",Dan Anderson,Point Guard and Shooting Guard,Right,185
anderde01,Jul-18,1974,Louisville, Kentucky,3.4,40.8,34.1,85.3,615,15.3,12,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997,06-May-23,6.50,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194
anderdw01,Dec-28,1960,Dayton, Ohio,0.6,50,-,70,5,10.6,4.2,0.4,0,50,"University of Kentucky, University of Southern California",41st overall,2nd round,Washington Bullets,1982,06-Mar-23,6.30,"Roth in Dayton, Ohio",Dwight Anderson,Point Guard,Right,185
anderer01,May-26,1970,Chicago, Illinois,0.2,34.3,100,59.3,27,13.1,1.6,1.1,0.2,37.1,Indiana University,,,,,06-Sep-23,6.90,"Saint Francis DeSales in Chicago, Illinois",Eric Anderson,Power Forward,Right,220
andergr01,Jun-22,1964,Houston, Texas,0.6,49.2,8.7,55.7,680,13,7.3,6.2,18.7,49.2,University of Houston,23rd overall,1st round,San Antonio Spurs,1987,06-Oct-23,6.10,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230
anderjj01,Sep-23,1960,Chicago, Illinois,0.7,46.5,0,55.8,157,12.1,4.8,2.8,2.7,46.5,Bradley University,36th overall,2nd round,Philadelphia 76ers,1982,06-Aug-23,6.80,"Metro in Chicago, Illinois",J.J. Anderson,Small Forward,Right,195
anderja01,Mar-25,1989,El Dorado, Arkansas,1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,06-Jun-23,6.60,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213
anderje01,Oct-09,1953,Mullens, West Virginia,0.3,49,,69.4,49,11.4,2.6,0.5,0.4,,West Virginia University,53rd overall,3rd round,Boston Celtics,1975,06-May-23,6.50,"Mullens in Mullens, West Virginia",Jerome Anderson,Shooting Guard,Right,195
anderju01,Nov-19,1993,Montross, Virginia,0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,06-Jun-23,6.60,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230
anderke01,Oct-09,1970,Queens, New York,6.1,42.1,34.6,79,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991,6-0,6.00,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168
anderki01,May-12,1955,Sedalia, Missouri,0.7,31.2,,53.6,21,3,3,2.1,-0.4,,University of Missouri,28th overall,2nd round,Portland Trail Blazers,1977,06-Jul-23,6.70,"Smith-Cotton in Sedali, Missouri",Kim Anderson,Small Forward,Right,200
anderky01,Sep-20,1993,Fairview, New Jersey,1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,06-Sep-23,6.90,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230
andermi01,Mar-23,1966,Philadelphia, Pennsylvania,4.3,41.7,14.3,69.5,36,10.5,5.7,2.5,0.2,42,Drexel University,73rd overall,3rd round,Indiana Pacers,1988,05-Nov-23,5.11,"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania",Michael Anderson,Point Guard,Right,184
anderni01,Jan-20,1968,Chicago, Illinois,2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989,06-Jun-23,6.60,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205
anderri01,Nov-19,1960,San Pedro, California,1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982,06-Oct-23,6.10,"Rancho Alamitos in Garden Grove, California",Richard Anderson,Center and Power Forward,Right,240
anderro01,Oct-15,1958,Chicago, Illinois,1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",27th overall,2nd round,Cleveland Cavaliers,1984,06-Jul-23,6.70,"Bowen in Chicago, Illinois",Ron Anderson,Small Forward,Right,215
anderry01,May-06,1988,Sacramento, California,0.9,42.2,38,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,21st overall,1st round,New Jersey Nets,2008,06-Oct-23,6.10,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240
